"año";"sector";"actividad";"subactividad";"categoria";"id_ipcc";"tipo_de_gas";"valor_en_toneladas_de_co2e"
"2022";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Refinación del petróleo";"1A1b";"N2O";"0.00"
"1990";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Fabricación de combustibles sólidos y otras industrias energéticas";"1A1ciii";"CO2";"3.26"
"1991";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Fabricación de combustibles sólidos y otras industrias energéticas";"1A1ciii";"CO2";"4.37"
"1992";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Fabricación de combustibles sólidos y otras industrias energéticas";"1A1ciii";"CO2";"3.55"
"1993";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Fabricación de combustibles sólidos y otras industrias energéticas";"1A1ciii";"CO2";"2.85"
"1994";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Fabricación de combustibles sólidos y otras industrias energéticas";"1A1ciii";"CO2";"3.13"
"1995";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Fabricación de combustibles sólidos y otras industrias energéticas";"1A1ciii";"CO2";"3.38"
"1996";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Fabricación de combustibles sólidos y otras industrias energéticas";"1A1ciii";"CO2";"4.37"
"1997";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Fabricación de combustibles sólidos y otras industrias energéticas";"1A1ciii";"CO2";"5.16"
"1998";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Fabricación de combustibles sólidos y otras industrias energéticas";"1A1ciii";"CO2";"7.10"
"1999";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Fabricación de combustibles sólidos y otras industrias energéticas";"1A1ciii";"CO2";"7.46"
"2000";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Fabricación de combustibles sólidos y otras industrias energéticas";"1A1ciii";"CO2";"7.99"
"2001";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Fabricación de combustibles sólidos y otras industrias energéticas";"1A1ciii";"CO2";"8.07"
"2002";"Energía";"Actividades de quema de combustible ";"Industrias de la energía ";"Fabricación de combustibles sólidos y otras industrias energéticas";"1A1ciii";"CO2";"8.54"
